Timestamp,Download_KBps,Upload_KBps,Ping_ms,Status
2026-03-24 18:44:06,11.7,17.15,177,MAUVAIS (Saturation/NAT)
2026-03-24 18:44:12,27.3,23.44,4,OPTIMAL (Direct)
2026-03-24 18:44:18,14.25,6.55,3,OPTIMAL (Direct)
2026-03-24 18:44:23,12.16,26.61,24,MOYEN (Congestion)
2026-03-24 18:44:29,92.83,5.32,8,OPTIMAL (Direct)
2026-03-24 18:44:35,4.54,12.87,4,OPTIMAL (Direct)
2026-03-24 18:44:41,1.43,0.12,999,MAUVAIS (Saturation/NAT)
2026-03-24 18:44:46,0.6,0.12,9,OPTIMAL (Direct)
2026-03-24 18:44:52,12.19,11.12,71,MOYEN (Congestion)
2026-03-24 18:44:58,11.41,28.69,999,MAUVAIS (Saturation/NAT)
2026-03-24 18:45:04,12.65,12.64,249,MAUVAIS (Saturation/NAT)
2026-03-24 18:45:10,88.52,17.94,92,MAUVAIS (Saturation/NAT)
2026-03-24 18:45:15,56.92,10.86,49,MOYEN (Congestion)
2026-03-24 18:45:21,143.61,5.01,999,MAUVAIS (Saturation/NAT)
2026-03-24 18:45:26,37.53,2.07,27,MOYEN (Congestion)
2026-03-24 18:45:32,16.66,1.42,5,OPTIMAL (Direct)
2026-03-24 18:45:38,10.61,5.76,92,MAUVAIS (Saturation/NAT)
2026-03-24 18:45:44,24.56,1.28,47,MOYEN (Congestion)
2026-03-24 18:45:49,94.59,4.6,68,MOYEN (Congestion)
2026-03-24 18:45:55,5.59,0.3,69,MOYEN (Congestion)
2026-03-24 18:46:01,57.18,1.98,21,MOYEN (Congestion)
2026-03-24 18:46:06,95.1,2.48,29,MOYEN (Congestion)
2026-03-24 18:46:12,84.31,3.26,17,OPTIMAL (Direct)
2026-03-24 18:46:18,196.43,7.25,32,MOYEN (Congestion)
2026-03-24 18:46:23,17.78,2.91,48,MOYEN (Congestion)
2026-03-24 18:46:29,77.98,20.51,86,MAUVAIS (Saturation/NAT)
2026-03-24 18:46:36,189.97,21.33,123,MAUVAIS (Saturation/NAT)
2026-03-24 18:46:41,72.44,12.56,26,MOYEN (Congestion)
2026-03-24 18:46:47,19.28,6.87,91,MAUVAIS (Saturation/NAT)
2026-03-24 18:46:53,107.65,3.86,999,MAUVAIS (Saturation/NAT)
2026-03-24 18:46:59,90.13,5.22,12,OPTIMAL (Direct)
2026-03-24 18:47:04,164.1,3.93,5,OPTIMAL (Direct)
2026-03-24 18:47:10,10.61,0.83,3,OPTIMAL (Direct)
2026-03-24 18:47:15,11.01,0.89,3,OPTIMAL (Direct)
